SrcIP,SrcPort,DstIP,DstPort,Timestamp_s,BytesInFlight
220.45.44.126,33818,104.221.216.192,53,1744145100.315349,1
144.138.89.207,26200,233.236.178.203,12300,1744145100.315343,1
54.20.102.212,54276,197.33.5.133,9023,1744145100.316072,0
54.20.102.212,54276,197.33.5.133,9023,1744145100.315323,1
196.71.246.45,56038,129.62.67.150,31337,1744145100.315210,1
63.186.144.39,52944,78.198.5.133,80,1744145100.334093,309
63.186.144.39,52944,78.198.5.133,80,1744145100.333080,1
63.186.144.39,52944,78.198.5.133,80,1744145100.315096,1
135.147.14.66,20012,187.230.178.203,18080,1744145100.315050,1
50.175.28.133,64409,179.215.41.104,443,1744145100.335597,601
50.175.28.133,64409,179.215.41.104,443,1744145100.329882,228
50.175.28.133,64409,179.215.41.104,443,1744145100.328397,127
50.175.28.133,64409,179.215.41.104,443,1744145100.320608,127
50.175.28.133,64409,179.215.41.104,443,1744145100.320604,127
50.175.28.133,64409,179.215.41.104,443,1744145100.314998,1
190.102.197.91,52952,177.41.67.150,4664,1744145100.314817,1
93.137.11.156,55638,56.34.148.202,5005,1744145100.314791,1
224.208.81.205,55410,92.231.152.202,4002,1744145100.314662,1
60.244.158.141,60342,140.32.148.202,5555,1744145100.314653,1
157.203.197.36,6913,248.104.123.199,443,1744145100.314549,1
131.53.14.52,35734,19.10.67.150,7443,1744145100.314460,1
191.89.150.112,35807,151.168.178.203,23,1744145100.314455,1
255.33.5.133,18208,246.43.192.3,59688,1744145100.314379,1
30.33.161.83,59798,198.29.238.103,30473,1744145100.314330,1
72.115.207.193,58026,106.232.178.203,8401,1744145100.314260,1
139.91.97.18,50138,215.148.67.150,446,1744145100.314246,1
189.66.222.147,55798,147.195.67.150,111,1744145100.314236,1
88.21.221.45,8303,185.201.113.131,445,1744145100.314107,1
166.131.28.133,51723,32.92.160.85,25,1744145100.314002,1
196.42.134.104,36624,32.137.67.150,22994,1744145100.314000,1
72.70.196.45,43566,54.132.178.203,23,1744145100.313878,1
216.83.3.47,23337,135.71.164.163,8282,1744145100.313703,1
196.42.134.104,57776,82.163.164.163,22994,1744145100.313634,1
246.43.192.3,59688,255.33.5.133,18208,1744145100.314379,0
246.43.192.3,59688,255.33.5.133,18208,1744145100.313590,1
67.166.55.170,60468,253.235.164.163,8728,1744145100.313574,1
169.32.161.83,61000,200.16.67.150,22191,1744145100.313571,1
81.227.254.117,32625,104.255.28.133,23,1744145100.313504,1
66.167.4.36,19020,62.200.5.133,22,1744145100.313403,1
117.32.161.83,47519,8.7.67.150,3791,1744145100.313381,1
2.191.47.195,47969,93.230.164.163,15483,1744145100.313178,1
160.252.27.156,56775,225.243.67.150,8000,1744145100.312989,1
217.65.9.72,47963,50.197.67.150,443,1744145100.312853,1
195.230.228.139,45482,90.44.5.133,10159,1744145100.312831,1
91.182.89.167,45089,186.107.67.150,3306,1744145100.312771,1
193.236.83.154,50568,128.232.152.202,80,1744145100.312749,1
26.52.87.75,43294,110.87.164.163,23,1744145100.312691,1
136.170.164.185,44951,30.178.67.150,22,1744145100.312569,1
91.252.27.156,50669,4.178.67.150,8088,1744145100.312448,1
148.44.236.45,45189,142.185.67.150,15733,1744145100.312416,1
142.33.161.83,53470,216.229.164.163,4171,1744145100.312295,1
152.228.147.138,15897,216.180.178.203,80,1744145100.312291,1
24.170.101.187,63263,184.58.5.133,445,1744145100.312259,1
22.83.21.47,52571,177.9.67.150,3004,1744145100.311928,1
190.253.210.209,34757,204.104.123.199,443,1744145100.311902,1
95.40.24.34,45432,142.16.67.150,5433,1744145100.311887,1
50.175.28.133,64408,179.215.41.104,443,1744145100.335922,601
50.175.28.133,64408,179.215.41.104,443,1744145100.329738,228
50.175.28.133,64408,179.215.41.104,443,1744145100.329030,127
50.175.28.133,64408,179.215.41.104,443,1744145100.318065,127
50.175.28.133,64408,179.215.41.104,443,1744145100.317561,1
50.175.28.133,64408,179.215.41.104,443,1744145100.311724,1
73.131.70.162,24639,120.249.67.150,20001,1744145100.311629,1
17.245.35.18,43014,240.255.67.150,1434,1744145100.311402,1
50.175.28.133,64407,179.215.41.104,443,1744145100.343324,638
50.175.28.133,64407,179.215.41.104,443,1744145100.333883,601
50.175.28.133,64407,179.215.41.104,443,1744145100.328195,228
50.175.28.133,64407,179.215.41.104,443,1744145100.326164,127
50.175.28.133,64407,179.215.41.104,443,1744145100.326072,127
50.175.28.133,64407,179.215.41.104,443,1744145100.317737,127
50.175.28.133,64407,179.215.41.104,443,1744145100.317128,1
50.175.28.133,64407,179.215.41.104,443,1744145100.311363,1
191.66.222.147,51262,150.196.5.133,12694,1744145100.311160,1
110.244.158.141,34111,93.88.67.150,5555,1744145100.310981,1
8.88.34.18,50011,55.11.5.133,20,1744145100.310980,1
229.131.70.162,34744,75.227.5.133,5530,1744145100.310976,1
109.250.228.45,31145,49.83.67.150,8443,1744145100.310957,1
67.166.55.170,51727,150.236.67.150,8728,1744145100.310899,1
83.134.36.18,45224,119.196.152.202,5061,1744145100.310810,1
40.147.10.47,39616,129.58.67.150,2222,1744145100.310757,1
60.244.158.141,35459,138.192.5.133,5555,1744145100.310687,1
184.80.2.113,58363,0.192.152.202,46247,1744145100.310670,1
218.211.96.18,46127,220.236.67.150,2209,1744145100.310652,1
89.131.249.116,53887,51.215.5.133,23,1744145100.310640,1
255.36.148.202,51738,205.193.123.153,22,1744145100.328924,42
255.36.148.202,51738,205.193.123.153,22,1744145100.328770,0
255.36.148.202,51738,205.193.123.153,22,1744145100.328134,0
255.36.148.202,51738,205.193.123.153,22,1744145100.310594,1
29.83.3.47,59128,52.252.67.150,51005,1744145100.310575,1
227.129.135.15,55053,243.161.67.150,3074,1744145100.310469,1
187.95.26.121,50041,29.98.113.131,23,1744145100.310177,1
34.33.66.159,54024,66.162.67.150,8118,1744145100.310145,1
41.149.126.183,40610,2.236.28.133,23,1744145100.310122,1
122.226.179.109,14225,192.213.178.203,23,1744145100.310083,1
183.226.12.193,37414,53.35.67.150,175,1744145100.309949,1
131.53.14.52,38624,239.149.67.150,7443,1744145100.309925,1
29.199.211.162,42886,245.22.5.133,15122,1744145100.309725,1
82.182.89.167,19912,202.130.178.203,5671,1744145100.309618,1
124.66.222.147,51404,212.234.5.133,37777,1744145100.309519,1
231.198.39.117,20650,161.248.5.133,23,1744145100.309639,1
231.198.39.117,20650,161.248.5.133,23,1744145100.309512,1
205.191.47.195,40326,223.32.67.150,15904,1744145100.309492,1
98.65.173.80,60000,128.125.67.150,25055,1744145100.309462,1
227.129.135.15,54406,218.229.178.203,3074,1744145100.309351,1
133.135.199.79,15196,51.57.186.130,3128,1744145100.309262,1
201.113.243.219,49509,149.200.152.202,23,1744145100.309128,1
196.151.67.20,35352,27.32.5.133,7473,1744145100.309094,1
143.138.89.207,26200,248.210.178.203,16004,1744145100.309090,1
26.239.112.126,63951,110.205.112.131,143,1744145100.309047,1
140.115.207.193,51286,141.194.152.202,771,1744145100.308937,1
136.170.164.185,55075,161.193.178.203,22,1744145100.308928,1
5.189.39.38,4853,98.149.164.163,23,1744145100.308721,1
74.117.66.176,40649,127.133.164.163,9000,1744145100.308608,1
241.182.159.223,58124,77.182.178.203,23,1744145100.308441,1
12.212.156.198,49399,180.5.5.133,5061,1744145100.308148,1
158.131.135.15,51518,58.245.67.150,4505,1744145100.308076,1
65.21.11.156,37296,10.217.164.163,8089,1744145100.308054,1
238.129.135.15,43057,13.53.28.133,9037,1744145100.308030,1
30.107.255.202,8572,96.106.123.199,443,1744145100.307940,1
119.143.83.213,38795,254.26.67.150,5555,1744145100.307888,1
128.230.10.206,31190,73.229.152.202,20532,1744145100.307740,1
95.182.89.167,22197,136.209.5.133,465,1744145100.307610,1
148.230.10.206,43874,116.117.67.150,26247,1744145100.307551,1
94.32.161.83,58676,172.250.5.133,3391,1744145100.307480,1
50.175.28.133,64406,179.215.41.104,443,1744145100.343233,639
50.175.28.133,64406,179.215.41.104,443,1744145100.342724,638
50.175.28.133,64406,179.215.41.104,443,1744145100.336811,638
50.175.28.133,64406,179.215.41.104,443,1744145100.327226,601
50.175.28.133,64406,179.215.41.104,443,1744145100.321482,228
50.175.28.133,64406,179.215.41.104,443,1744145100.319992,127
50.175.28.133,64406,179.215.41.104,443,1744145100.319958,127
50.175.28.133,64406,179.215.41.104,443,1744145100.313165,127
50.175.28.133,64406,179.215.41.104,443,1744145100.307389,1
101.136.6.71,53166,246.197.152.202,139,1744145100.307361,1
45.124.119.46,25758,36.235.152.202,2323,1744145100.307324,1
130.230.10.206,63885,24.233.5.133,10932,1744145100.307220,1
117.208.81.205,52905,234.170.67.150,9200,1744145100.307054,1
89.182.89.167,26452,39.182.28.133,4840,1744145100.306978,1
239.182.89.167,21652,5.5.67.150,17777,1744145100.306970,1
239.129.135.15,59409,29.187.28.133,8406,1744145100.306968,1
238.129.135.15,50983,6.165.67.150,9037,1744145100.306953,1
112.32.161.83,48427,124.238.178.203,7654,1744145100.306951,1
42.14.50.139,2209,143.113.164.163,873,1744145100.306909,1
227.129.135.15,44987,94.41.67.150,3074,1744145100.306903,1
118.141.11.185,13360,11.224.152.202,9160,1744145100.306796,1
70.229.10.206,25948,118.231.67.150,51058,1744145100.306758,1
68.232.9.1,45030,237.229.152.202,23,1744145100.306664,1
40.186.7.92,44574,32.36.148.202,63540,1744145100.306493,1
249.176.248.13,51302,69.165.24.202,6010,1744145100.306366,1
238.177.63.128,41260,101.196.152.202,2375,1744145100.306361,1
238.129.135.15,35412,176.222.5.133,9037,1744145100.306265,1
150.177.178.203,47068,94.234.53.149,8890,1744145100.306227,1
169.32.161.83,61000,210.58.5.133,22321,1744145100.306162,1
65.27.131.46,41527,152.34.186.130,3389,1744145100.306127,1
228.127.24.103,55172,122.237.152.202,1433,1744145100.306106,1
196.71.246.45,56038,183.108.67.150,5001,1744145100.306094,1
160.252.27.156,56775,232.21.67.150,8000,1744145100.305926,1
81.227.254.117,32625,26.45.28.133,23,1744145100.305884,1
46.122.89.23,40123,70.240.67.150,3389,1744145100.305880,1
242.104.149.20,60833,218.171.178.203,4443,1744145100.305848,1
65.32.161.83,55634,106.249.152.202,5369,1744145100.305744,1
233.41.248.222,44528,212.161.178.203,22,1744145100.305640,1
14.66.222.147,56948,233.112.67.150,37443,1744145100.305621,1
167.244.158.141,35249,251.210.152.202,80,1744145100.305594,1
249.62.19.180,50692,29.133.186.130,47000,1744145100.305558,1
142.33.161.83,53470,83.107.67.150,3393,1744145100.305525,1
9.192.155.175,52994,248.104.123.199,443,1744145100.305492,1
227.129.135.15,60965,150.130.178.203,3074,1744145100.305470,1
46.122.89.23,40123,176.32.67.150,3389,1744145100.305468,1
203.24.163.164,60000,181.125.164.163,7306,1744145100.305350,1
15.200.155.175,51671,248.104.123.199,443,1744145100.305329,1
137.230.10.206,18561,215.220.152.202,11051,1744145100.305307,1
2.191.47.195,55547,122.58.164.163,15483,1744145100.305280,1
3.48.30.122,13281,54.19.5.133,23,1744145100.305115,1
132.191.47.195,60416,190.165.24.202,15839,1744145100.317941,0
132.191.47.195,60416,190.165.24.202,15839,1744145100.305027,1
34.106.123.196,51824,23.237.5.133,22,1744145100.305003,1
46.83.3.47,19417,206.234.67.150,9088,1744145100.304996,1
249.176.248.13,52790,183.164.24.202,6010,1744145100.304928,1
158.131.135.15,46629,177.162.28.133,4505,1744145100.304443,1
72.149.219.199,8092,125.235.152.202,50580,1744145100.304443,1
227.129.135.15,34048,226.128.113.131,3074,1744145100.304232,1
231.131.70.162,14479,15.28.5.133,30302,1744145100.304200,1
118.177.120.115,25221,138.249.152.202,700,1744145100.304150,1
196.71.246.45,56038,84.38.67.150,7002,1744145100.304014,1
88.111.70.103,40178,221.104.112.131,22,1744145100.303975,1
142.33.161.83,53470,254.196.67.150,8803,1744145100.303966,1
139.230.10.206,47199,157.12.67.150,26472,1744145100.303932,1
162.230.10.206,4468,100.24.5.133,44819,1744145100.303906,1
81.10.63.160,43929,184.10.173.157,3128,1744145100.303902,1
80.166.55.170,52241,159.181.178.203,8728,1744145100.303722,1
65.115.207.193,55041,6.198.34.210,3890,1744145100.303669,1
149.230.10.206,7396,99.231.178.203,53342,1744145100.303224,1
136.170.164.185,44140,134.10.5.133,22,1744145100.303105,1
52.126.96.18,47091,177.75.67.150,49192,1744145100.303067,1
230.182.89.167,23360,241.207.152.202,58450,1744145100.303019,1
50.175.28.133,64405,179.215.41.104,443,1744145100.339840,639
50.175.28.133,64405,179.215.41.104,443,1744145100.339386,638
50.175.28.133,64405,179.215.41.104,443,1744145100.333850,638
50.175.28.133,64405,179.215.41.104,443,1744145100.323670,601
50.175.28.133,64405,179.215.41.104,443,1744145100.317840,228
50.175.28.133,64405,179.215.41.104,443,1744145100.316016,1
50.175.28.133,64405,179.215.41.104,443,1744145100.308647,1
50.175.28.133,64405,179.215.41.104,443,1744145100.302921,1
62.45.74.185,40371,82.232.67.150,23,1744145100.302868,1
177.206.98.18,33298,22.230.152.202,808,1744145100.302824,1
147.160.89.167,1628,144.244.152.202,10252,1744145100.302806,1
72.229.10.206,59812,203.164.24.202,8476,1744145100.302718,1
46.75.14.14,56086,11.22.15.133,1433,1744145100.302706,1
122.27.93.45,43255,237.29.238.103,5327,1744145100.302538,1
162.230.10.206,63024,68.192.164.163,2053,1744145100.302523,1
86.137.11.156,54390,176.84.67.150,8787,1744145100.302495,1
235.81.110.64,61002,157.52.67.150,22,1744145100.302490,1
142.33.161.83,53470,98.194.164.163,3380,1744145100.302461,1
174.65.220.23,80,36.36.148.202,49208,1744145100.305090,0
174.65.220.23,80,36.36.148.202,49208,1744145100.304720,0
174.65.220.23,80,36.36.148.202,49208,1744145100.304601,1
174.65.220.23,80,36.36.148.202,49208,1744145100.304144,188
174.65.220.23,80,36.36.148.202,49208,1744145100.304027,187
174.65.220.23,80,36.36.148.202,49208,1744145100.303537,0
174.65.220.23,80,36.36.148.202,49208,1744145100.303148,0
174.65.220.23,80,36.36.148.202,49208,1744145100.303074,0
174.65.220.23,80,36.36.148.202,49208,1744145100.302459,1
250.123.211.3,43369,157.167.67.150,93,1744145100.302407,1
232.120.228.1,34666,178.169.67.150,23,1744145100.302402,1
112.32.161.83,48427,203.221.5.133,33898,1744145100.302388,1
136.170.164.185,44141,134.10.5.133,22,1744145100.302348,1
64.149.219.199,17219,218.56.67.150,6881,1744145100.302302,1
137.209.104.176,48785,94.72.113.131,23,1744145100.302252,1
11.115.207.193,51283,122.255.152.202,8085,1744145100.302166,1
48.201.254.223,14489,172.149.178.203,23,1744145100.302092,1
36.36.148.202,49208,174.65.220.23,80,1744145100.305090,0
36.36.148.202,49208,174.65.220.23,80,1744145100.304720,1
36.36.148.202,49208,174.65.220.23,80,1744145100.304601,0
36.36.148.202,49208,174.65.220.23,80,1744145100.304144,0
36.36.148.202,49208,174.65.220.23,80,1744145100.304027,0
36.36.148.202,49208,174.65.220.23,80,1744145100.303537,0
36.36.148.202,49208,174.65.220.23,80,1744145100.303148,111
36.36.148.202,49208,174.65.220.23,80,1744145100.303074,0
36.36.148.202,49208,174.65.220.23,80,1744145100.302459,0
36.36.148.202,49208,174.65.220.23,80,1744145100.302065,1
74.189.14.66,20012,34.55.5.133,18080,1744145100.301936,1
169.32.161.83,61000,216.246.5.133,22188,1744145100.301931,1
244.21.102.211,37119,99.197.113.131,8080,1744145100.301798,1
184.115.207.193,51236,230.203.178.203,17990,1744145100.301535,1
193.236.83.154,51739,9.115.67.150,80,1744145100.301486,1
196.42.134.104,54967,150.18.67.150,22994,1744145100.301372,1
238.188.197.36,7320,248.104.123.199,443,1744145100.301276,1
83.85.76.71,45873,124.250.186.130,23,1744145100.301217,1
186.82.242.47,55339,185.25.67.150,23,1744145100.329196,1
186.82.242.47,55339,185.25.67.150,23,1744145100.301137,1
182.166.183.220,14742,105.104.28.133,17001,1744145100.300964,1
192.238.80.8,49011,118.50.67.150,8013,1744145100.300839,1
158.131.135.15,49227,8.185.178.203,4505,1744145100.300778,1
112.32.161.83,48427,199.250.178.203,3388,1744145100.300525,1
208.121.202.172,43588,112.166.178.203,8040,1744145100.300515,1
227.129.135.15,35651,57.201.178.203,3074,1744145100.300508,1
141.138.89.207,26200,40.236.178.203,13000,1744145100.300444,1
58.58.67.150,443,156.200.15.126,60948,1744145100.300324,1
109.250.228.45,13979,50.105.67.150,8443,1744145100.300146,1
60.99.37.18,50040,21.194.152.202,50003,1744145100.300078,1
17.245.35.18,42067,109.19.5.133,1434,1744145100.299849,1
158.160.89.167,52023,191.184.178.203,20546,1744145100.299796,1
80.166.55.170,35725,83.56.5.133,8728,1744145100.299731,1
65.32.161.83,55634,99.71.164.163,6001,1744145100.299602,1
110.244.158.141,50916,199.199.67.150,5555,1744145100.299586,1
161.27.95.8,43689,120.211.152.202,3080,1744145100.299500,1
247.150.199.3,51530,117.201.152.202,8600,1744145100.299463,1
154.199.60.192,41298,44.7.67.150,1433,1744145100.299410,1
250.57.127.150,52690,210.150.186.130,8000,1744145100.299351,1
